#beta:	avg magnetisation:
0.050000	0.014158
0.100000	0.014471
0.150000	0.015144
0.200000	0.015791
0.250000	0.016938
0.300000	0.018277
0.350000	0.019994
0.400000	0.022055
0.450000	0.024482
0.500000	0.027202
0.550000	0.031102
0.600000	0.035225
0.650000	0.040333
0.700000	0.044519
0.750000	0.049161
0.800000	0.059602
0.850000	0.058977
0.900000	0.077749
0.950000	0.079909
1.000000	0.089107
1.050000	0.099845
1.100000	0.142099
1.150000	0.121347
1.200000	0.127698
1.250000	0.197173
1.300000	0.170761
1.350000	0.122452
1.400000	0.127110
1.450000	0.129543
1.500000	0.374331
1.550000	0.247205
1.600000	0.236160
1.650000	0.142170
1.700000	0.046288
1.750000	0.035914
1.800000	0.042795
1.850000	0.027899
1.900000	0.109757
1.950000	0.155401
2.000000	0.147788
2.050000	0.191266
2.100000	0.207029
2.150000	0.230997
2.200000	0.169658
2.250000	0.151510
2.300000	0.230962
2.350000	0.266599
2.400000	0.299346
2.450000	0.295991
2.500000	0.317379
2.550000	0.302392
2.600000	0.311350
2.650000	0.294246
2.700000	0.356181
2.750000	0.328942
2.800000	0.294884
2.850000	0.314401
2.900000	0.294473
2.950000	0.253440
3.000000	0.243620
#total time taken: 3335.987579
#Machine geometry: 3200 nodes in each set (6400 total nodes)  on 4 procs. 800 nodes per proc
#no swaps done. Graph is double ring graph
#number of update steps: 50000
