#beta:	avg magnetisation:
0.010000	0.014823
0.020000	0.013241
0.030000	0.015169
0.040000	0.015210
0.050000	0.013728
0.060000	0.014147
0.070000	0.014341
0.080000	0.013412
0.090000	0.014742
0.100000	0.013945
0.110000	0.014355
0.120000	0.014347
0.130000	0.014978
0.140000	0.013985
0.150000	0.015242
0.160000	0.014832
0.170000	0.014541
0.180000	0.015488
0.190000	0.015656
0.200000	0.015489
0.210000	0.016238
0.220000	0.016477
0.230000	0.016194
0.240000	0.017112
0.250000	0.017282
0.260000	0.017194
0.270000	0.018049
0.280000	0.017632
0.290000	0.018589
0.300000	0.018713
0.310000	0.019473
0.320000	0.019470
0.330000	0.019982
0.340000	0.019135
0.350000	0.019719
0.360000	0.020346
0.370000	0.020604
0.380000	0.021837
0.390000	0.021224
0.400000	0.021844
0.410000	0.023858
0.420000	0.022915
0.430000	0.022396
0.440000	0.023611
0.450000	0.025091
0.460000	0.024074
0.470000	0.025175
0.480000	0.027553
0.490000	0.028345
0.500000	0.025962
0.510000	0.030079
0.520000	0.029876
0.530000	0.030057
0.540000	0.032549
0.550000	0.028376
0.560000	0.031831
0.570000	0.033129
0.580000	0.032531
0.590000	0.037282
0.600000	0.031015
0.610000	0.033013
0.620000	0.037924
0.630000	0.043318
0.640000	0.041137
0.650000	0.041332
0.660000	0.045628
0.670000	0.039578
0.680000	0.043593
0.690000	0.038331
0.700000	0.047159
0.710000	0.041976
0.720000	0.035824
0.730000	0.054825
0.740000	0.048998
0.750000	0.046360
0.760000	0.043952
0.770000	0.057595
0.780000	0.058900
0.790000	0.070259
0.800000	0.045075
0.810000	0.044454
0.820000	0.072578
0.830000	0.061013
0.840000	0.054520
0.850000	0.057455
0.860000	0.070318
0.870000	0.072999
0.880000	0.056189
0.890000	0.061076
0.900000	0.130691
0.910000	0.068735
0.920000	0.081727
0.930000	0.069028
0.940000	0.083680
0.950000	0.055796
0.960000	0.029432
0.970000	0.224552
0.980000	0.213135
0.990000	0.057874
#total time taken: 100.535759
#Machine geometry: 3200 nodes in each set (6400 total nodes)  on 4 procs. 800 nodes per proc
#no swaps done. Graph is double ring graph
#number of update steps: 1000
